.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
586A14_S110_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
586A14_S110_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
586B0_S111_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
586B0_S111_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
586B14_S112_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
586B14_S112_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
597A0_S121_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
597A0_S121_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
597A14_S122_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
597A14_S122_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
597B0_S123_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
597B0_S123_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
597B14_S124_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
597B14_S124_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
603A0_S13_L001_R1_001	1	0.5	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
603A0_S13_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
603A14_S14_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
603A14_S14_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
603B0_S15_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
603B0_S15_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
603B14_S16_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
603B14_S16_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
607A0_S5_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
607A0_S5_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
607A14_S6_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
607A14_S6_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
607B0_S7_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
607B0_S7_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
607B14_S8_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
607B14_S8_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
610A0_S21_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
610A0_S21_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
610A14_S22_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
610A14_S22_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
610B0_S23_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
610B0_S23_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
610B14_S24_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
610B14_S24_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
612A0_S41_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
612A0_S41_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
612A14_S42_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
612A14_S42_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
612B0_S43_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
612B0_S43_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
612B14_S44_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
612B14_S44_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
613A0_S49_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
613A0_S49_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
613A14_S50_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
613A14_S50_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
613B0_S51_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
613B0_S51_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
613B14_S52_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
613B14_S52_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
615A0_S37_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
