Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
528A14_S54_L001_R1_001	(1.0, 6.386274276182532)	(2.0, 2.017554311132293)	(3.0, 1.4178482068390326)	(4.0, 0.7625402120814965)	(5.0, 0.8936018110330037)	(6.0, 0.6910520671988561)	(7.0, 0.5838198498748958)	(8.0, 0.5083601413876643)	(9.0, 0.5004170141784821)	('>10', 9.996425592755868)	('>50', 6.731800309781962)	('>100', 21.06914492235593)	('>500', 12.903610151316574)	('>1k', 35.53755113388141)	('>5k', 0.0)	('>10k+', 0.0)
528A14_S54_L001_R2_001	(1.0, 8.201278843480678)	(2.0, 1.739544858810914)	(3.0, 1.215298463004885)	(4.0, 0.6831089399896739)	(5.0, 0.4170141784820684)	(6.0, 0.3336113427856547)	(7.0, 0.25020850708924103)	(8.0, 0.22240756185710314)	(9.0, 0.1429762897652806)	('>10', 3.161364629254537)	('>50', 2.835696413678065)	('>100', 10.687477659954723)	('>500', 21.982604551411892)	('>1k', 48.12740776043528)	('>5k', 0.0)	('>10k+', 0.0)
528B0_S55_L001_R1_001	(1.0, 6.280889621087314)	(2.0, 1.8204283360790774)	(3.0, 1.112026359143328)	(4.0, 0.8731466227347612)	(5.0, 0.5354200988467875)	(6.0, 0.6919275123558485)	(7.0, 0.6054365733113674)	(8.0, 0.5271828665568369)	(9.0, 0.5189456342668863)	('>10', 10.984349258649093)	('>50', 7.014003294892916)	('>100', 19.349258649093905)	('>500', 16.672158154859968)	('>1k', 33.01482701812191)	('>5k', 0.0)	('>10k+', 0.0)
528B0_S55_L001_R2_001	(1.0, 8.517298187808896)	(2.0, 1.7462932454695224)	(3.0, 1.186161449752883)	(4.0, 0.6260296540362438)	(5.0, 0.4530477759472817)	(6.0, 0.29654036243822074)	(7.0, 0.3747940691927512)	(8.0, 0.42833607907743)	(9.0, 0.25947281713344317)	('>10', 3.867380560131796)	('>50', 6.116144975288304)	('>100', 11.050247116968698)	('>500', 24.658154859967052)	('>1k', 40.420098846787475)	('>5k', 0.0)	('>10k+', 0.0)
528B14_S56_L001_R1_001	(1.0, 6.408166433783574)	(2.0, 1.9950318273560006)	(3.0, 1.304145319049837)	(4.0, 0.9315323707498836)	(5.0, 0.7180562024530353)	(6.0, 0.5589194224499302)	(7.0, 0.4347151063499456)	(8.0, 0.5899705014749262)	(9.0, 0.5239869585468095)	('>10', 9.191119391398852)	('>50', 3.687315634218289)	('>100', 26.311908088806085)	('>500', 23.84722869119702)	('>1k', 23.497904052165815)	('>5k', 0.0)	('>10k+', 0.0)
528B14_S56_L001_R2_001	(1.0, 9.35413755628008)	(2.0, 1.7155721161310356)	(3.0, 0.8849557522123894)	(4.0, 0.7762769756249029)	(5.0, 0.3493246390312063)	(6.0, 0.4424778761061947)	(7.0, 0.2173575531749728)	(8.0, 0.24840863219996895)	(9.0, 0.3143921751280857)	('>10', 2.2589659990684674)	('>50', 2.8605806551777673)	('>100', 21.19236143455985)	('>500', 22.23257258189722)	('>1k', 37.152616053407854)	('>5k', 0.0)	('>10k+', 0.0)
532A0_S45_L001_R1_001	(1.0, 5.0288363067967445)	(2.0, 1.5954293106236188)	(3.0, 1.0510429580121814)	(4.0, 0.6467956664690346)	(5.0, 0.5389963887241955)	(6.0, 0.4527569665283243)	(7.0, 0.5470813345550585)	(8.0, 0.4311971109793564)	(9.0, 0.363822562388832)	('>10', 7.327655904705438)	('>50', 2.905190535223414)	('>100', 26.305718751684363)	('>500', 10.766452864765807)	('>1k', 42.03902333854363)	('>5k', 0.0)	('>10k+', 0.0)
532A0_S45_L001_R2_001	(1.0, 7.826227564275319)	(2.0, 1.8595375410984747)	(3.0, 1.0833827413356332)	(4.0, 0.7222551608904221)	(5.0, 0.4581469304155662)	(6.0, 0.21020859160243627)	(7.0, 0.3207028512908963)	(8.0, 0.34495768878348515)	(9.0, 0.1455290249555328)	('>10', 1.7625181911281194)	('>50', 1.3690508273594568)	('>100', 19.10203201638549)	('>500', 9.639950412332238)	('>1k', 55.15550045814693)	('>5k', 0.0)	('>10k+', 0.0)
532A14_S46_L001_R1_001	(1.0, 5.091375157448125)	(2.0, 1.5026628068857315)	(3.0, 1.2662143946257707)	(4.0, 0.6364218946810156)	(5.0, 0.6850374560802599)	(6.0, 0.5170927894283253)	(7.0, 0.3557775175126511)	(8.0, 0.3712461052305925)	(9.0, 0.536980973637107)	('>10', 7.999469648421099)	('>50', 5.535544604777584)	('>100', 13.40463615671889)	('>500', 21.40410580513999)	('>1k', 40.693434689412854)	('>5k', 0.0)	('>10k+', 0.0)
532A14_S46_L001_R2_001	(1.0, 7.471327867765673)	(2.0, 1.8694893156254833)	(3.0, 1.0142973946478686)	(4.0, 0.7601705964245464)	(5.0, 0.5193025876737454)	(6.0, 0.3845048947031136)	(7.0, 0.309371754358827)	(8.0, 0.33588933330386933)	(9.0, 0.11932910525269043)	('>10', 1.314829956025015)	('>50', 2.3711135173358673)	('>100', 8.733122665900602)	('>500', 12.485360086624091)	('>1k', 62.31189092435861)	('>5k', 0.0)	('>10k+', 0.0)
